Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
ASTON MARTIN,ASTON MARTIN CYGNET,6_1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,45.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN DB11,6_2,150.0,326.0,404.0,667.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN DB5,6_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN DB7,6_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,163.0,193.0,234.0
ASTON MARTIN,ASTON MARTIN DB9,6_4,0.0,0.0,0.0,28.0,140.0,24.0,111.0,149.0,64.0,75.0,158.0,215.0,399.0,550.0,510.0,901.0,225.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN DB9O,6_4,0.0,0.0,0.0,0.0,11.0,159.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN DBS,6_5,202.0,287.0,52.0,0.0,0.0,0.0,0.0,1.0,100.0,124.0,149.0,151.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN RAPIDE,6_6,15.0,38.0,35.0,48.0,46.0,94.0,86.0,97.0,63.0,112.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTON MARTIN,ASTON MARTIN VANQUISH,6_8,0.0,37.0,140.0,181.0,134.0,173.0,88.0,6.0,0.0,0.0,0.0,0.0,3.0,49.0,24.0,54.0,6.0,1.0,1.0,0.0
ASTON MARTIN,ASTON MARTIN VANTAGE,6_9,191.0,688.0,421.0,243.0,334.0,310.0,301.0,278.0,278.0,241.0,285.0,417.0,526.0,753.0,967.0,90.0,0.0,0.0,1.0,0.0
ASTON MARTIN,ASTON MARTIN VIRAGE,6_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,94.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI A1,7_1,13292.0,19976.0,19038.0,21212.0,24047.0,22789.0,22709.0,22405.0,18743.0,16721.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI A2,7_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,2046.0,1877.0,2392.0,1938.0
AUDI,AUDI A3,7_3,15079.0,17396.0,22958.0,27935.0,34335.0,39145.0,38841.0,28775.0,26994.0,23030.0,27721.0,26633.0,24398.0,21098.0,19805.0,15652.0,8405.0,3665.0,2302.0,1492.0
AUDI,AUDI A4,7_5,8903.0,13013.0,12026.0,19667.0,23312.0,17375.0,18080.0,17454.0,15506.0,15958.0,15510.0,16367.0,21339.0,21935.0,20218.0,15501.0,13587.0,9607.0,5688.0,2298.0
AUDI,AUDI A5,7_9,5155.0,9572.0,9063.0,10868.0,7766.0,9925.0,10778.0,11108.0,10098.0,9864.0,11067.0,7039.0,4942.0,1468.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI A6,7_11,4069.0,9843.0,8392.0,8973.0,13552.0,11745.0,11514.0,11637.0,9551.0,8334.0,8049.0,5368.0,8408.0,9253.0,5845.0,4082.0,2537.0,1576.0,1165.0,611.0
AUDI,AUDI A7,7_15,729.0,1572.0,1417.0,1489.0,2262.0,1982.0,1909.0,1981.0,1424.0,1848.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI A8,7_16,404.0,758.0,928.0,572.0,707.0,835.0,879.0,777.0,818.0,913.0,588.0,472.0,878.0,748.0,535.0,552.0,378.0,174.0,100.0,92.0
AUDI,AUDI ALLROAD,7_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.0,561.0,632.0,430.0,0.0,1.0,0.0,2.0,0.0
